,id,algorithm,lower_bounds,upper_bounds,dfd_pdr,dfd_algorithm,mean_localisation_errors_pdr,mean_localisation_errors_algorithm,third_quantile_localisation_errors_pdr,third_quantile_localisation_errors_algorithm
126,15,AOE,40,50,0.12629952699363642,0.10474273565033661,4.553098999485275,3.570716037017892,6.091459883724185,4.478736266091689
127,8,AOE,40,50,0.379986014831172,0.10622784329609031,9.267051237626399,6.390972676492306,13.39165480305109,7.96892506653558
128,13,AOE,50,170,0.03326718505462879,0.04033353974312124,1.4005738445885925,1.2564968419378277,1.8233862593207295,1.5141635605830674
129,10,AOE,50,170,0.38662010950624237,0.13446947188751637,12.95354045379269,6.423778997756938,20.913304519741033,9.592176578475769
130,17,AOE,50,170,0.05355347004177055,0.07402412006599683,2.4454904624953757,2.5681486889406315,3.2538225191566075,3.2538225191566075
131,14,AOE,50,170,0.2249477853867765,0.13995591228951082,8.950153390831712,7.591751108592676,12.2049534768212,12.351087329769188
132,19,AOE,50,170,0.0596348610882763,0.09027780986993195,3.856370197033094,3.865668213310416,4.886944683492949,4.886944683492949
133,4,AOE,50,170,0.1352224224449558,0.1659917102273926,6.240562257949761,7.208148935028906,8.742612809924573,9.048651180304649
134,2,AOE,50,170,0.7383483645600684,0.13158774540141172,19.51287082720274,6.8747005814188675,33.78759191823704,9.367342955218627
135,5,AOE,50,170,0.19541346789072717,0.08390396853114512,7.070493755894075,3.962227344679416,12.788689590681088,6.24047728776665
136,3,AOE,50,170,0.13268935311318694,0.05649577631704565,4.015369378202639,2.6612529782921426,5.860782865182081,3.2654024370297554
137,1,AOE,50,170,0.27446629165365777,0.12353210532411751,10.317168875412948,4.374478214371729,17.72707672518522,7.178703669046532
138,7,AOE,50,170,0.20421457929777032,0.10269426298307088,8.013474509836767,4.501785581431151,13.213142214796884,5.5845739249744035
139,18,AOE,50,170,0.133368599659097,0.1146095511202841,4.003299687334457,4.85738140210088,6.160328796080773,9.257327993740093
140,6,AOE,50,170,0.11731535910593234,0.1407272177445685,5.7572002248098935,6.388863020203432,7.4605629384124965,8.819296437375598
141,16,AOE,50,170,0.07024152327204156,0.08495121766565378,2.9490392320159575,2.801608182674511,4.1025195074791085,3.27905744258764
142,15,AOE,50,170,0.12629952699363642,0.12629952699363642,4.553098999485275,4.553098999485275,6.091459883724185,6.091459883724185
143,8,AOE,50,170,0.379986014831172,0.16766451400061605,9.267051237626399,7.0928758489154395,13.39165480305109,8.304847237089088
144,13,AOE,40,70,0.03326718505462879,0.025971376983570042,1.4005738445885925,1.2326443323018164,1.8233862593207295,1.5934922380081198
